City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caramay,PH,2020-04-28 02:53:35,10.18,119.24,85.14,74,61,11.56
1,New Norfolk,AU,2020-04-28 02:48:02,-42.78,147.06,68.0,47,94,5.99
2,Georgetown,MY,2020-04-28 02:51:52,5.41,100.34,86.0,83,20,5.82
3,Dikson,RU,2020-04-28 02:48:04,73.51,80.55,20.88,95,100,13.09
4,Kunashak,RU,2020-04-28 02:53:36,55.7,61.55,48.2,87,40,4.47
5,Ixtapa,MX,2020-04-28 02:53:36,20.7,-105.2,77.0,69,5,2.71
6,Ganzhou,CN,2020-04-28 02:53:36,28.82,115.43,73.27,52,0,4.52
7,Corning,US,2020-04-28 02:48:58,42.14,-77.05,37.99,81,1,1.86
8,Castro,BR,2020-04-28 02:53:37,-24.79,-50.01,56.64,72,24,7.61
9,Lasalgaon,IN,2020-04-28 02:53:37,20.15,74.23,83.82,28,0,0.81
10,Saint Anthony,US,2020-04-28 02:53:37,45.02,-93.22,64.4,25,1,4.7
11,Rikitea,PF,2020-04-28 02:53:37,-23.12,-134.97,77.61,80,17,13.6
12,Padang,ID,2020-04-28 02:53:37,-0.95,100.35,85.3,58,100,0.98
13,Busselton,AU,2020-04-28 02:53:38,-33.65,115.33,64.99,35,39,11.74
14,Kapaa,US,2020-04-28 02:53:38,22.08,-159.32,80.6,69,40,18.34
15,Hobart,AU,2020-04-28 02:47:02,-42.88,147.33,68.0,45,75,14.99
16,Cherskiy,RU,2020-04-28 02:48:01,68.75,161.3,32.5,98,99,1.92
17,Hermanus,ZA,2020-04-28 02:47:57,-34.42,19.23,57.58,85,17,15.28
18,Butembo,CD,2020-04-28 02:53:39,0.15,29.28,58.42,62,100,1.3
19,Ushuaia,AR,2020-04-28 02:53:39,-54.8,-68.3,42.8,81,98,11.41
20,Esfarayen,IR,2020-04-28 02:53:39,37.08,57.51,44.6,93,20,1.92
21,Aasiaat,GL,2020-04-28 02:53:39,68.71,-52.87,30.38,93,100,16.02
22,Talnakh,RU,2020-04-28 02:49:32,69.49,88.4,23.0,79,25,8.95
23,Port Alfred,ZA,2020-04-28 02:47:49,-33.59,26.89,63.0,84,100,3.0
24,College,US,2020-04-28 02:47:51,64.86,-147.8,45.0,26,20,8.05
25,Fare,PF,2020-04-28 02:47:39,-16.7,-151.02,83.62,78,6,13.85
26,Goleniow,PL,2020-04-28 02:53:41,53.56,14.83,53.01,61,75,4.7
27,Ponta Do Sol,PT,2020-04-28 02:48:02,32.67,-17.1,60.8,67,20,5.82
28,Iqaluit,CA,2020-04-28 02:49:31,63.75,-68.51,17.6,85,90,2.24
29,Dongli,CN,2020-04-28 02:53:41,23.57,116.82,78.8,39,62,6.71
30,Jamestown,US,2020-04-28 02:47:39,42.1,-79.24,44.6,42,1,2.77
31,Saint-Philippe,RE,2020-04-28 02:48:02,-21.36,55.77,73.4,77,20,9.17
32,Tuktoyaktuk,CA,2020-04-28 02:48:11,69.45,-133.04,15.8,78,75,13.87
33,Whitehorse,CA,2020-04-28 02:49:13,60.72,-135.05,48.2,31,75,20.8
34,Vostok,RU,2020-04-28 02:49:04,46.49,135.88,47.12,40,75,7.47
35,Albany,US,2020-04-28 02:46:02,42.6,-73.97,39.99,77,100,8.05
36,Punta Arenas,CL,2020-04-28 02:47:50,-53.15,-70.92,30.2,92,20,4.7
37,Komsomolskiy,UZ,2020-04-28 02:53:43,40.43,71.72,75.2,38,64,4.7
38,Nikolskoye,RU,2020-04-28 02:47:32,59.7,30.79,28.4,92,41,2.24
39,Bethel,US,2020-04-28 02:47:40,41.37,-73.41,39.99,86,75,5.82
40,Sao Jose Dos Pinhais,BR,2020-04-28 02:53:43,-25.53,-49.21,62.01,100,75,6.93
41,Port Hedland,AU,2020-04-28 02:49:02,-20.32,118.57,95.0,28,24,16.11
42,Hofn,IS,2020-04-28 02:49:39,64.25,-15.21,37.24,77,0,1.28
43,Olafsvik,IS,2020-04-28 02:53:44,64.89,-23.71,42.57,75,35,1.34
44,Bluff,NZ,2020-04-28 02:47:56,-46.6,168.33,61.0,57,85,8.01
45,Mataura,NZ,2020-04-28 02:47:41,-46.19,168.86,61.0,57,57,8.01
46,Cap Malheureux,MU,2020-04-28 02:53:44,-19.98,57.61,71.01,78,9,5.01
47,Vallenar,CL,2020-04-28 02:48:43,-28.57,-70.76,56.25,46,0,2.53
48,Najran,SA,2020-04-28 02:53:45,17.49,44.13,77.0,36,40,2.06
49,Ketchikan,US,2020-04-28 02:53:45,55.34,-131.65,44.6,100,90,24.16
50,Saskylakh,RU,2020-04-28 02:47:38,71.92,114.08,22.03,94,38,1.43
51,Pangnirtung,CA,2020-04-28 02:48:33,66.15,-65.71,1.98,87,57,2.91
52,Tukrah,LY,2020-04-28 02:53:45,32.53,20.58,62.01,60,0,13.73
53,Sao Joao Da Barra,BR,2020-04-28 02:48:21,-21.64,-41.05,70.02,71,0,3.62
54,Mahebourg,MU,2020-04-28 02:47:45,-20.41,57.7,75.2,73,75,11.41
55,Praia Da Vitoria,PT,2020-04-28 02:48:46,38.73,-27.07,57.2,71,40,13.98
56,Kodiak,US,2020-04-28 02:47:59,57.79,-152.41,51.8,57,1,5.82
57,Hot Springs,US,2020-04-28 02:53:46,34.5,-93.06,66.2,63,1,6.93
58,Cape Town,ZA,2020-04-28 02:49:55,-33.93,18.42,61.0,87,0,1.12
59,Bredasdorp,ZA,2020-04-28 02:48:06,-34.53,20.04,55.4,76,2,4.7
60,San Cristobal Acasaguastlan,GT,2020-04-28 02:53:47,14.92,-89.88,75.65,55,65,4.5
61,Srednekolymsk,RU,2020-04-28 02:48:06,67.45,153.68,33.01,98,100,5.01
62,Meulaboh,ID,2020-04-28 02:48:55,4.14,96.13,84.13,72,80,2.19
63,Morros,BR,2020-04-28 02:53:48,-9.45,-46.3,71.42,80,0,4.68
64,Mulege,MX,2020-04-28 02:53:48,26.88,-111.98,80.82,32,50,1.36
65,Yellowknife,CA,2020-04-28 02:47:49,62.46,-114.35,35.6,59,75,16.11
66,Port Shepstone,ZA,2020-04-28 02:53:48,-30.74,30.45,64.22,79,100,15.84
67,Broken Hill,AU,2020-04-28 02:53:49,-31.95,141.43,73.4,38,87,13.87
68,Jaciara,BR,2020-04-28 02:53:49,-15.97,-54.97,66.54,77,3,2.3
69,Salalah,OM,2020-04-28 02:48:15,17.02,54.09,82.4,83,40,2.24
70,Butaritari,KI,2020-04-28 02:47:48,3.07,172.79,80.92,83,100,14.2
71,Kuvandyk,RU,2020-04-28 02:53:49,51.48,57.36,49.59,79,14,5.01
72,Norman Wells,CA,2020-04-28 02:48:08,65.28,-126.83,30.2,50,90,6.93
73,Bereda,ES,2020-04-28 02:48:30,43.27,-7.54,51.01,99,92,8.01
74,Thompson,CA,2020-04-28 02:47:39,55.74,-97.86,28.4,63,75,9.17
75,Geraldton,AU,2020-04-28 02:48:51,-28.77,114.6,73.4,49,40,12.75
76,Yarada,IN,2020-04-28 02:49:19,17.65,83.27,82.4,74,75,2.24
77,East London,ZA,2020-04-28 02:44:57,-33.02,27.91,64.71,76,100,15.86
78,Klaksvik,FO,2020-04-28 02:48:36,62.23,-6.59,39.2,69,100,8.05
79,Lebu,CL,2020-04-28 02:48:03,-37.62,-73.65,53.46,90,6,7.36
80,Shimoda,JP,2020-04-28 02:53:51,34.67,138.95,60.8,72,40,4.7
81,Nago,JP,2020-04-28 02:53:51,26.59,127.98,73.4,64,75,9.17
82,Hailar,CN,2020-04-28 02:53:51,49.2,119.7,54.93,30,96,7.67
83,Waipawa,NZ,2020-04-28 02:48:07,-41.41,175.52,64.4,55,0,8.05
84,Tangzhai,CN,2020-04-28 02:53:52,34.43,116.59,69.58,31,0,12.06
85,Nanortalik,GL,2020-04-28 02:47:37,60.14,-45.24,32.14,95,0,3.96
86,Moose Factory,CA,2020-04-28 02:53:52,51.26,-80.61,41.0,44,1,6.93
87,Port Elizabeth,ZA,2020-04-28 02:45:00,-33.92,25.57,59.0,87,75,8.05
88,Puerto Ayora,EC,2020-04-28 02:47:51,-0.74,-90.35,78.01,90,56,5.99
89,Beloha,MG,2020-04-28 02:48:10,-25.17,45.05,61.25,81,0,8.03
90,Faanui,PF,2020-04-28 02:47:44,-16.48,-151.75,83.23,77,3,13.06
91,Ahipara,NZ,2020-04-28 02:49:22,-35.17,173.17,65.82,72,100,10.04
92,Husavik,IS,2020-04-28 02:48:50,66.04,-17.34,30.2,92,0,4.7
93,Yumen,CN,2020-04-28 02:53:54,40.28,97.2,73.89,7,0,23.02
94,Hovd,MN,2020-04-28 02:49:07,48.01,91.64,66.97,13,26,1.5
95,Amapa,BR,2020-04-28 02:53:54,1.0,-52.0,73.44,94,100,3.33
96,Longyearbyen,SJ,2020-04-28 02:47:53,78.22,15.64,24.8,68,75,5.82
97,Green River,US,2020-04-28 02:53:54,41.53,-109.47,55.4,37,90,12.75
98,Vaini,TO,2020-04-28 02:47:41,-21.2,-175.2,77.0,73,75,11.41
99,Cabo San Lucas,MX,2020-04-28 02:45:12,22.89,-109.91,87.8,22,40,9.17
100,Barrow,US,2020-04-28 02:48:11,71.29,-156.79,15.8,78,90,10.29
101,San Patricio,MX,2020-04-28 02:53:55,19.22,-104.7,74.61,61,0,5.12
102,Leh,IN,2020-04-28 02:49:44,34.17,77.58,40.73,15,46,1.1
103,Lagoa,PT,2020-04-28 02:47:46,39.05,-27.98,56.88,69,99,15.82
104,Touros,BR,2020-04-28 02:49:04,-5.2,-35.46,75.2,100,20,3.36
105,Helena,US,2020-04-28 02:53:56,46.59,-112.04,59.0,30,1,24.16
106,Los Llanos De Aridane,ES,2020-04-28 02:48:20,28.66,-17.92,64.4,68,40,5.82
107,Maningrida,AU,2020-04-28 02:53:56,-12.07,134.27,89.87,53,56,8.3
108,Severo-Kurilsk,RU,2020-04-28 02:48:20,50.68,156.12,33.15,92,90,17.81
109,Hamilton,US,2020-04-28 02:46:49,39.18,-84.53,59.0,50,75,8.05
110,Hilo,US,2020-04-28 02:47:38,19.73,-155.09,80.6,61,90,10.29
111,Wanganui,NZ,2020-04-28 02:53:12,-39.93,175.05,64.99,63,0,18.99
112,Mozarlandia,BR,2020-04-28 02:53:57,-14.74,-50.57,70.97,74,0,3.87
113,Itarema,BR,2020-04-28 02:49:37,-2.92,-39.92,76.35,87,100,7.56
114,Longavi,CL,2020-04-28 02:53:58,-35.97,-71.68,53.1,82,90,2.98
115,Lukovetskiy,RU,2020-04-28 02:53:58,64.3,41.92,24.8,100,90,8.95
116,Juxtlahuaca,MX,2020-04-28 02:53:59,17.43,-99.15,72.45,47,1,4.81
117,Mangan,IN,2020-04-28 02:53:59,27.52,88.53,74.77,29,19,3.22
118,Margate,GB,2020-04-28 02:52:36,51.38,1.39,48.99,92,100,5.01
119,Ariquemes,BR,2020-04-28 02:53:59,-9.91,-63.04,74.12,92,100,1.23
120,Ambam,CM,2020-04-28 02:53:59,2.38,11.28,67.01,83,99,0.54
121,Airai,TL,2020-04-28 02:48:41,-8.93,125.41,73.13,38,36,4.16
122,Vysokaya Gora,RU,2020-04-28 02:54:00,55.91,49.3,44.6,87,97,6.71
